Timestamp,SystemCodeNumber,Capacity,Occupancy,QueueLength,TrafficLevel,IsSpecialDay,VehicleTypeWeight,Latitude,Longitude
2016-10-04 07:59:00,BHMBCCMKT01,577,61,1,0,0,1.0,26.14453614,91.73617216
2016-10-04 07:59:00,BHMNCPHST01,1200,237,2,0,0,0.7,26.14001386,91.73099967
2016-10-04 07:59:00,BHMMBMMBX01,687,264,2,0,0,1.0,20.0000347,78.00000286
2016-10-04 07:59:00,BHMNCPNST01,485,249,2,0,0,1.0,26.14004753,91.73097233
2016-10-04 07:59:00,Shopping,1920,614,2,0,0,0.5,26.15050395,91.73353109
2016-10-04 07:59:00,BHMEURBRD01,470,117,2,0,0,1.0,26.14901995,91.7395035
2016-10-04 07:59:00,Broad Street,690,178,2,0,0,1.0,26.13795775,91.74099445
2016-10-04 07:59:00,Others-CCCPS8,1322,445,3,1,0,0.7,26.14754886,91.72799519
2016-10-04 07:59:00,Others-CCCPS105a,2009,709,2,0,0,1.0,26.14747299,91.72804914
2016-10-04 07:59:00,Others-CCCPS119a,2803,195,1,0,0,1.0,26.14754061,91.72797041
2016-10-04 07:59:00,BHMBCCTHL01,387,120,2,0,0,1.0,26.14449459,91.73620513
2016-10-04 07:59:00,Others-CCCPS135a,3883,1081,2,0,0,1.0,26.14749943,91.72800489
2016-10-04 07:59:00,Others-CCCPS202,2937,547,2,0,0,0.7,26.14749053,91.72799688
2016-10-04 07:59:00,Others-CCCPS98,3103,588,2,1,0,1.0,26.14749998,91.72797778
2016-10-04 08:25:00,Others-CCCPS8,1322,478,2,0,0,1.5,26.14754886,91.72799519
2016-10-04 08:25:00,BHMNCPNST01,485,267,2,0,0,1.5,26.14004753,91.73097233
2016-10-04 08:25:00,Others-CCCPS105a,2009,780,3,1,0,1.0,26.14747299,91.72804914
2016-10-04 08:25:00,Others-CCCPS202,2937,665,2,0,0,1.0,26.14749053,91.72799688
2016-10-04 08:25:00,Others-CCCPS135a,3883,1467,3,0,0,0.7,26.14749943,91.72800489
2016-10-04 08:25:00,BHMBCCTHL01,387,129,2,1,0,1.0,26.14449459,91.73620513
2016-10-04 08:25:00,BHMMBMMBX01,687,302,1,0,0,1.0,20.0000347,78.00000286
2016-10-04 08:25:00,BHMEURBRD01,470,174,1,0,0,0.7,26.14901995,91.7395035
2016-10-04 08:25:00,Others-CCCPS98,3103,678,3,1,0,0.7,26.14749998,91.72797778
2016-10-04 08:25:00,Broad Street,690,269,2,0,0,1.0,26.13795775,91.74099445
2016-10-04 08:25:00,Others-CCCPS119a,2803,238,2,1,0,1.0,26.14754061,91.72797041
2016-10-04 08:25:00,Shopping,1920,761,2,0,0,1.0,26.15050395,91.73353109
2016-10-04 08:25:00,BHMNCPHST01,1200,315,2,0,0,0.7,26.14001386,91.73099967
2016-10-04 08:25:00,BHMBCCMKT01,577,64,1,0,0,1.0,26.14453614,91.73617216
2016-10-04 08:59:00,Others-CCCPS8,1322,518,3,1,0,1.0,26.14754886,91.72799519
2016-10-04 08:59:00,BHMBCCTHL01,387,155,2,0,0,1.0,26.14449459,91.73620513
2016-10-04 08:59:00,Others-CCCPS119a,2803,323,2,0,0,1.0,26.14754061,91.72797041
2016-10-04 08:59:00,Shopping,1920,958,2,0,0,1.0,26.15050395,91.73353109
2016-10-04 08:59:00,Others-CCCPS135a,3883,2007,2,0,0,1.0,26.14749943,91.72800489
2016-10-04 08:59:00,Broad Street,690,415,3,0,0,0.7,26.13795775,91.74099445
2016-10-04 08:59:00,BHMNCPNST01,485,278,2,0,0,1.0,26.14004753,91.73097233
2016-10-04 08:59:00,BHMEURBRD01,470,269,2,0,0,1.5,26.14901995,91.7395035
2016-10-04 08:59:00,BHMMBMMBX01,687,346,2,0,0,1.5,20.0000347,78.00000286
2016-10-04 08:59:00,BHMBCCMKT01,577,80,2,0,0,1.0,26.14453614,91.73617216
2016-10-04 08:59:00,Others-CCCPS98,3103,792,3,0,0,1.0,26.14749998,91.72797778
2016-10-04 08:59:00,BHMNCPHST01,1200,441,2,0,0,1.0,26.14001386,91.73099967
2016-10-04 08:59:00,Others-CCCPS202,2937,848,2,0,0,0.7,26.14749053,91.72799688
2016-10-04 08:59:00,Others-CCCPS105a,2009,864,2,0,0,1.0,26.14747299,91.72804914
2016-10-04 09:32:00,BHMEURBRD01,470,351,3,0,0,0.5,26.14901995,91.7395035
2016-10-04 09:32:00,BHMBCCTHL01,387,204,2,0,0,0.5,26.14449459,91.73620513
2016-10-04 09:32:00,Others-CCCPS202,2937,1036,3,0,0,1.0,26.14749053,91.72799688
2016-10-04 09:32:00,Others-CCCPS8,1322,590,3,0,0,0.5,26.14754886,91.72799519
2016-10-04 09:32:00,Broad Street,690,530,2,0,0,1.0,26.13795775,91.74099445
2016-10-04 09:32:00,Others-CCCPS98,3103,932,3,0,0,1.0,26.14749998,91.72797778
2016-10-04 09:32:00,Others-CCCPS119a,2803,420,2,0,0,0.7,26.14754061,91.72797041
2016-10-04 09:32:00,Others-CCCPS105a,2009,1004,3,0,0,1.0,26.14747299,91.72804914
